Stock Nme,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 week Range,Volume,Avg. Value
Alphabet Inc. (GOOG),176.45,178.78 ,178.75 ,--,--,175.62 - 178.90 ,115.83 - 182.08 ,"14,975,659 ","19,007,632 "
"Amazon.com, Inc. (AMZN)",182.81,184.06 ,183.66 ,--,--,181.43 - 184.29 ,118.35 - 191.70 ,"36,343,153 ","38,444,948 "
Microsoft Corporation (MSFT),446.34,448.37 ,449.72 ,--,--,444.89 - 450.14 ,309.45 - 450.94 ,"16,376,806 ","18,750,701 "
